"","Year","Area","Street","Street.2"
"87",2011,"Birmingham","Heartlandsì Hospitalì Aì  Ì E ","Heartlands Hospital A   E "
"88",2011,"Birmingham","Heartlandsì Hospitalì Aì  Ì E ","Heartlands Hospital A   E "
"89",2011,"Birmingham","Heartlandsì Hospitalì Aì  Ì E ","heartlands hospital A   E "
"90",2011,"Birmingham","Hepbenì Grove","Hepben Grove"
"91",2011,"Birmingham","Herrickì Rd.","Herrick Road"
"92",2011,"Birmingham"," Herrickì Rd."," Herrick Road  Washwood Heath"
"93",2011,"Birmingham"," Herrickì Rd."," Herrick Road  Washwood Heath"
"94",2011,"Birmingham","Highì Str.","High St Solihull"
"95",2011,"Birmingham","Highì Str.","HIGH STREET KINGS HEATH"
"96",2011,"Birmingham","Highì Str.","High Street Kings Heath"
"97",2011,"Birmingham"," Highì Str."," high street  kings heath"
"98",2011,"Birmingham","Hobì Moorì Rd.","Hob Moor Road at Starbank Road"
"99",2011,"Birmingham","Hollowayì Headì Bhamì Cityì Centre","Holloway head Bham City centre"
"100",2011,"Birmingham","Hollywellì Rd.","Hollywell Road"
"101",2011,"Birmingham","Homeì Address","home address"
"102",2011,"Birmingham","Homeì Address","Home Address"
"103",2011,"Birmingham","Homerì Str.","Homer street"
"104",2011,"Birmingham","Huntersì Moonì Publicì House ","Hunters Moon Public house "
"105",2011,"Birmingham","Hurstì Str.","Hurst Street"
"106",2011,"Birmingham","Hurstì Str.","Hurst Street"
"107",2011,"Birmingham","Hurstì Str.","Hurst Street"
"108",2011,"Birmingham"," Hurstì Str."," Hurst Street  Birmingham"
"109",2011,"Birmingham","Kingsì Heathì Highì Str.","Kings Heath High Street"
"110",2011,"Birmingham"," Knowleì Rd Ì Smallì Heath Ì Bham"," KNOWLE RD  SMALL HEATH  BHAM"
"111",2011,"Birmingham","Ln.","ladypool Road"
"112",2011,"Birmingham","Ln.","ladypool Road"
"113",2011,"Birmingham","Ln.","Ladywell Walk"
"114",2011,"Birmingham","Leaì Hallì Rd","Lea Hall RD"
"115",2011,"Birmingham","Leaì Hallì Rd","Lea Hall rd"
"116",2011,"Birmingham"," Leaì Village Ì Str."," Lea Village  Stechford"
"117",2011,"Birmingham"," Lenchesì Close Ì Mosley"," Lenches Close  Mosley"
"118",2011,"Birmingham","Limeì Treeì Rd.","Lime Tree Road"
"119",2011,"Birmingham","Lodeì Ln.","Lode Lane   Hermitage Road"
"120",2011,"Birmingham","Longì Str.","Long street"
"121",2011,"Birmingham","Longì Str.","Long Street  Sparkhill"
"122",2011,"Birmingham","Longbridgeì Ln.","Longbridge Lane"
"123",2011,"Birmingham"," Longmeadowì Crescentì Shardì Endì  Ì Bham"," LONGMEADOW CRESCENT SHARD END   BHAM"
"124",2011,"Birmingham","Maccadownì Ln.","Maccadown Lane"
"125",2011,"Birmingham","Masshouseì Ln.","masshouse lane"
"126",2011,"Birmingham","Meadwaymì Str.","Meadwaym Stechford"
"127",2011,"Birmingham"," Mickleoverì Rd."," Mickleover Road  Bromford"
"128",2011,"Birmingham","Moorcroftì Rd.","moorcroft road"
"129",2011,"Birmingham","Moseleyì Rd.","Moseley Road"
"130",2011,"Birmingham","Moseleyì Rd.","moseley road"
"131",2011,"Birmingham","Moseleyì Rd.","moseley road"
"132",2011,"Birmingham","Moseleyì Rd.","moseley road"
"133",2011,"Birmingham","Moseleyì Village","Moseley Village"
"134",2011,"Birmingham","Moseleyì Village","Moseley Village"
"135",2011,"Birmingham"," Moseleyì Village Ì Alcesterì Rd."," Moseley Village  Alcester road"
"136",2011,"Birmingham"," Mosleyì Allì Servicesì Club Ì Churchì Rd."," Mosley All Services Club  Church Road  Moseley "
"137",2011,"Birmingham","Nearlandsì Closeì Quinton","Nearlands Close Quinton"
"138",2011,"Birmingham","Newì Str.","new street"
"139",2011,"Birmingham","Northfieldì Highì Str.","Northfield High Street"
"140",2011,"Birmingham"," O Sì Behans Ì Highfieldì Rd."," O S BEHANS  HIGHFIELD ROAD  BILLESLEY"
"141",2011,"Birmingham"," O Sì Theì Junction Ì Mosleyì Village"," O S The junction  Mosley Village"
"142",2011,"Birmingham","O Sì Washwoodì Heathì Rd.","O S Washwood Heath road"
"143",2011,"Birmingham"," Oakhillì Rd."," Oakhill Road  Acocks Green"
"144",2011,"Birmingham","Oppì Whiteì Hartì Ln.","Opp white hart lane cooks lane"
"145",2011,"Birmingham"," Opposite Ì Aldi Ì Str."," Opposite  ALDI  Stratford Road"
"146",2011,"Birmingham","Outsideì Javaì Loungeì Alcesterì Rd.","Outside Java lounge Alcester Road"
"147",2011,"Birmingham","Outsideì O2ì Academyì Nightì Clubì B Hamì Cityì Centre","Outside O2 Academy Night Club B ham City Centre"
"148",2011,"Birmingham","Outsideì Ravenì Publicì House","outside raven public house"
"149",2011,"Birmingham"," Packingtonì Ave."," Packington Avenue  Shard End"
"150",2011,"Birmingham","Parkì Offì Hobì Moorì Rd.","park off hob moor road"
"151",2011,"Birmingham","Parkhallì Croft","Parkhall Croft"
"152",2011,"Birmingham","Pearì Treeì Ph","Pear Tree PH"
"153",2011,"Birmingham","Policeì Str.","Police station"
"154",2011,"Birmingham","Policeì Str.","Police Station Stechford"
"155",2011,"Birmingham","Poplarì Rd.","poplar road"
"156",2011,"Birmingham","Poplarì Rd.","Poplar road"
"157",2011,"Birmingham"," Poplarì Rd."," poplar road   solihull"
"158",2011,"Birmingham"," Poplarì Rd."," poplar road  solihull"
"159",2011,"Birmingham","Prestonì Rd.","Preston Road"
"160",2011,"Birmingham"," Prioryì Rd."," Priory Road  Hall Green"
"161",2011,"Birmingham","Prospectì Rd.","prospect road"
"162",2011,"Birmingham","Queenswoodì Rd.","queenswood road"
"163",2011,"Birmingham"," Rearì Ofì Boots Ì Highì Str."," rear of boots  high street"
"164",2011,"Birmingham"," Reddingsì Ln."," REDDINGS LANE  TSYLEY"
"165",2011,"Birmingham"," Richmondì Primaryì Careì Centre Ì Richmondì Rd."," Richmond Primary Care Centre  Richmond Road  Stechford"
